Generation,Distance,Routes
1,3610.03,44
2,3491.65,45
3,3481.24,42
4,3423.42,41
5,3292.98,41
6,3404.71,38
7,3171.24,37
8,3135.47,36
9,3078.67,34
10,2942.57,35
11,2884.09,30
12,2759.01,32
13,2678.85,30
14,2592.94,27
15,2516.43,28
16,2485.83,25
17,2413.8,24
18,2373.16,23
19,2299.69,22
20,2227.47,21
21,2158.83,21
22,2095.74,19
23,2131.59,19
24,2060.46,17
25,1910.73,17
26,1943.76,16
27,1853.42,16
28,1865.35,14
29,1742.65,14
30,1893.1,14
31,1689.56,13
32,1652.91,13
33,1614.86,13
34,1640.88,12
35,1604.93,12
36,1504,12
37,1447.8,12
38,1356.63,12
39,1325.52,12
40,1321.23,11
41,1307.88,11
42,1272.84,11
43,1306.66,11
44,1236.23,11
45,1258.7,10
46,1278.47,10
47,1281.44,10
48,1243.2,10
49,1288.12,10
50,1339.83,10
51,1199.88,11
52,1225.9,10
53,1263.15,10
54,1258.53,10
55,1262.19,10
56,1275.43,10
57,1299.83,10
58,1135.91,11
59,1165.4,11
60,1183.22,11
61,1231.01,10
62,1197.78,10
63,1220.94,10
64,1158.39,11
65,1167.43,10
66,1249.9,10
67,1085.71,10
68,1067,10
69,1085.71,10
70,1048.65,10
71,1070.44,10
72,1050.76,10
73,1098.25,10
74,1042.38,10
75,1067.29,10
76,1049.28,10
77,1032.59,10
78,1077.63,10
79,1032.35,10
80,1058.54,10
81,1017.01,10
82,1001.46,10
83,1040.61,10
84,1049.47,10
85,1056.92,10
86,1059.57,10
87,1002.55,10
88,1011.23,10
89,1022.08,10
90,1027.59,10
91,1027.8,10
92,1028.4,10
93,1002.55,10
94,1002.55,10
95,1007.76,10
96,993.871,10
97,999.296,10
98,1007.76,10
99,1003.92,10
100,1003.92,10
101,1009.4,10
102,999.658,10
103,1022.89,10
104,1024.15,10
105,1027.09,10
106,1026.87,10
107,1026.54,10
108,1027.47,10
109,1027.92,10
110,1027.8,10
111,1027.38,10
112,1027.92,10
113,1028.09,10
114,1027.99,10
115,1028.16,10
116,1028.36,10
117,1028.36,10
118,1028.4,10
119,1028.4,10
120,1028.41,10
121,1028.59,10
122,1028.59,10
123,1028.59,10
124,1028.59,10
125,1028.59,10
126,1028.59,10
127,1028.59,10
128,1028.59,10
129,1028.59,10
130,1028.59,10
131,1028.59,10
132,1028.59,10
133,1028.59,10
134,1028.59,10
135,1028.59,10
136,1028.59,10
137,1028.59,10
138,1028.59,10
139,1028.59,10
140,1028.59,10
141,1028.59,10
142,1028.59,10
143,1028.59,10
144,1028.59,10
145,1028.59,10
146,1028.59,10
147,1028.59,10
148,1028.59,10
149,1028.59,10
150,1028.59,10
151,1028.59,10
152,1028.59,10
153,1028.59,10
154,1028.59,10
155,1028.59,10
156,1028.59,10
157,1028.59,10
158,1028.59,10
159,1028.59,10
160,1028.59,10
161,1028.59,10
162,1028.59,10
163,1028.59,10
164,1028.59,10
165,1028.59,10
166,1028.59,10
167,1028.59,10
168,1028.59,10
169,1028.59,10
170,1028.59,10
171,1028.59,10
172,1028.59,10
173,1028.59,10
174,1028.59,10
175,1028.59,10
176,1028.59,10
177,1028.59,10
178,1028.59,10
179,1028.59,10
180,1028.59,10
181,1028.59,10
182,1028.59,10
183,1028.59,10
184,1028.59,10
185,1028.59,10
186,1028.59,10
187,1028.59,10
188,1028.59,10
189,1028.59,10
190,1028.59,10
191,1028.59,10
192,1028.59,10
193,1028.59,10
194,1028.59,10
195,1028.59,10
196,1028.59,10
197,1028.59,10
198,1028.59,10
199,1028.59,10
200,1028.59,10
201,1028.59,10
202,1028.59,10
203,1028.59,10
204,1028.59,10
205,1028.59,10
206,1028.59,10
207,1028.59,10
208,1028.59,10
209,1028.59,10
210,1028.59,10
211,1028.59,10
212,1028.59,10
213,1028.59,10
214,1028.59,10
215,1028.59,10
216,1028.59,10
217,1028.59,10
218,1028.59,10
219,1028.59,10
220,1028.59,10
221,1028.59,10
222,1028.59,10
223,1028.59,10
224,1028.59,10
225,1028.59,10
226,1028.59,10
227,1028.59,10
228,1028.59,10
229,1028.59,10
230,1028.59,10
231,1028.59,10
232,1028.59,10
233,1028.59,10
234,1028.59,10
235,1028.59,10
236,1028.59,10
237,1028.59,10
238,1028.59,10
239,1028.59,10
240,1028.59,10
241,1028.59,10
242,1028.59,10
243,1028.59,10
244,1028.59,10
