Generation,Distance,Routes
1,3763.65,48
2,3297.78,47
3,3631.05,45
4,3523.86,44
5,3434.75,43
6,3187.35,42
7,3107.99,41
8,3042.8,39
9,2928.59,37
10,2832.8,36
11,2870.28,35
12,2776.7,34
13,2803.2,32
14,2744.91,32
15,2716.73,30
16,2679.49,30
17,2622.67,29
18,2572.11,28
19,2543.22,27
20,2508.41,26
21,2478.15,25
22,2477.26,24
23,2428.73,23
24,2438.45,22
25,2473.74,22
26,2429.65,22
27,2400.14,21
28,2449.25,20
29,2352.17,20
30,2332.53,20
31,2318.55,20
32,2405.57,18
33,2315.08,19
34,2292.95,19
35,2332.96,18
36,2301.37,18
37,2305.23,18
38,2244.51,17
39,2308.05,16
40,2280.48,16
41,2245.07,16
42,2211.21,16
43,2171.43,16
44,2154.64,16
45,2166.57,16
46,2198.13,16
47,2173.12,16
48,2164.17,16
49,2143.3,16
50,2166.56,16
51,2138.83,17
52,2175.83,16
53,2141.38,16
54,2136.99,16
55,2075.24,16
56,2100.3,16
57,2129.85,15
58,2093.24,16
59,2037.17,16
60,2037.2,16
61,2025.91,16
62,2012.6,16
63,2061.07,15
64,2023.53,16
65,2026.41,15
66,2077.4,15
67,1968.64,16
68,1990.35,16
69,1987.58,16
70,1985.91,16
71,1982.59,16
72,2007.91,15
73,1979.57,16
74,1982.42,16
75,1988.73,15
76,1972.87,16
77,1971.17,16
78,1972.83,16
79,1968.32,16
80,1957.89,16
81,1962.54,16
82,1974.87,16
83,2008.13,15
84,2035.48,15
85,2039.82,15
86,2018.78,15
87,1964.08,16
88,1960.74,16
89,1950.25,16
90,1978.61,15
91,1957.7,16
92,1998.66,15
93,1962.47,15
94,1941.58,16
95,1925.39,16
96,1923.92,16
97,1964.65,15
98,1920.63,16
99,1924.76,16
100,1950.61,15
101,1933.75,15
102,1925.87,16
103,1923.65,16
104,1931.87,15
105,1939.53,15
106,1937.67,15
107,1929.54,15
108,1927.92,15
109,1939.57,15
110,1939.68,15
111,1916.76,16
112,1929.64,15
113,1919.51,15
114,1905.48,15
115,1904.36,15
116,1916.7,15
117,1957.37,15
118,1973.52,15
119,1961.57,15
120,1976.87,15
121,1917.6,15
122,1905.19,16
123,1912.34,15
124,1902.21,16
125,1900.9,16
126,1911.02,16
127,1899.9,16
128,1902.19,16
129,1899.04,16
130,1900.73,16
131,1917.42,15
132,1922.35,15
133,1902.23,15
134,1906.14,15
135,1943.61,15
136,1909.19,15
137,1924.42,15
138,1910.25,15
139,1939.03,15
140,1924.39,15
141,1973.31,15
142,1980.58,15
143,1951.52,15
144,1913.39,15
145,1942.81,15
146,1881.34,15
147,1908.94,15
148,1929.35,15
149,1876.89,15
150,1871.3,15
151,1869.26,15
152,1871.3,15
153,1882.87,15
154,1875.1,15
155,1901.38,15
156,1906,15
157,1906,15
158,1899.06,15
159,1896.39,15
160,1892.12,15
161,1880.74,15
162,1876.06,15
163,1891.66,15
164,1899.45,15
165,1897.11,15
166,1880.74,15
167,1898.48,15
168,1884.83,15
169,1915.98,15
170,1900.85,15
171,1900.85,15
172,1909.93,15
173,1894.37,15
174,1891.78,15
175,1895.18,15
176,1893.69,15
177,1873.62,15
178,1868.43,15
179,1869.43,15
180,1865.55,15
181,1864.11,15
182,1863.72,15
183,1870.27,15
184,1939.12,15
185,1945.08,15
186,1949.06,15
187,1879.47,15
188,1872.38,15
189,1898.37,15
190,1900.17,15
191,1892.28,15
192,1867.02,15
193,1864.12,15
194,1858.33,15
195,1865.89,15
196,1868.59,15
197,1882.76,15
198,1878.62,15
199,1868.96,15
200,1865.45,15
201,1867.08,15
202,1885.76,15
203,1874.93,15
204,1881.25,15
205,1891.78,15
206,1896.31,15
207,1894.18,15
208,1881.06,15
209,1880.6,15
210,1867.34,15
211,1868.73,15
212,1868.73,15
213,1883.05,15
214,1866.56,15
215,1866.24,15
216,1870.12,15
217,1878.31,15
218,1890.59,15
219,1913.45,15
220,1908.76,15
221,1911.72,15
222,1933.05,15
223,1911.72,15
224,1865.24,15
225,1862.74,15
226,1858.24,15
227,1854.14,15
228,1859.48,15
229,1900.05,15
230,1896.42,15
231,1900.05,15
232,1906.1,15
233,1875.45,15
234,1860.53,15
235,1855.56,15
236,1863.51,15
237,1865.5,15
238,1855.56,15
239,1863.97,15
240,1854.68,15
241,1855.56,15
242,1860.53,15
243,1860.53,15
244,1855.56,15
245,1885.94,15
246,1887.95,15
247,1875.85,15
248,1860.13,15
249,1854.68,15
250,1856.78,15
251,1863.76,15
252,1866.35,15
253,1854.41,15
254,1873.78,15
255,1885.86,15
256,1880.83,15
257,1885.86,15
258,1863.22,15
259,1898.44,15
260,1911.9,15
261,1889.8,15
262,1875.07,15
263,1875.1,15
264,1889.84,15
265,1904.58,15
266,1908.79,15
267,1870.59,15
268,1889.84,15
269,1858.97,15
270,1884.92,15
271,1898.69,15
272,1886.44,15
273,1862.42,15
274,1856.66,15
275,1863.29,15
276,1914.41,15
277,1916.38,15
278,1911.95,15
279,1919.33,15
280,1889.84,15
281,1893.86,15
282,1902.48,15
283,1901.9,15
284,1886.44,15
285,1858.24,15
286,1867.71,15
287,1896.12,15
288,1898.64,15
289,1885.79,15
290,1883.49,15
291,1889.8,15
292,1893.82,15
293,1880.96,15
294,1885.79,15
295,1889.8,15
296,1867.71,15
297,1863.29,15
298,1857.53,15
299,1860.51,15
300,1874.31,15
301,1874.31,15
302,1889.77,15
303,1893.74,15
304,1898.89,15
305,1892.56,15
306,1891.39,15
307,1886.23,15
308,1896.15,15
309,1896.38,15
310,1895.3,15
311,1898.98,15
