Generation,Distance,Routes
1,4236.72,56
2,4050.88,53
3,3846.55,51
4,3676.8,48
5,3481.31,46
6,3352.39,44
7,3294.22,42
8,3198.15,41
9,3124.04,40
10,3071.23,38
11,3002.63,37
12,2930.3,36
13,2886.95,34
14,2837.32,33
15,2793.91,32
16,2752.63,31
17,2705.69,30
18,2678.73,29
19,2649.24,29
20,2609.73,28
21,2579.8,27
22,2555.93,26
23,2539.78,25
24,2532.94,25
25,2526.68,24
26,2509.59,23
27,2501.39,22
28,2498.38,21
29,2493.77,21
30,2453.75,21
31,2452.55,20
32,2439.38,20
33,2443.61,19
34,2449.68,19
35,2425.32,19
36,2408.59,19
37,2426.6,18
38,2438.39,18
39,2399.69,18
40,2373.28,17
41,2373.19,17
42,2349.65,17
43,2357.75,17
44,2343.82,17
45,2339.94,16
46,2325.05,16
47,2313.2,16
48,2299.21,16
49,2282.65,16
50,2284.85,16
51,2278.66,16
52,2283.05,16
53,2286.29,16
54,2280.5,16
55,2272.9,16
56,2254.66,16
57,2244.4,16
58,2243.77,16
59,2229.07,16
60,2221.08,16
61,2211.83,16
62,2200.73,16
63,2198.53,16
64,2181.82,16
65,2164.59,16
66,2141.35,16
67,2162.17,16
68,2159.07,16
69,2154.84,16
70,2138.44,16
71,2123.23,16
72,2111.49,16
73,2123.83,16
74,2109.5,16
75,2113.78,16
76,2108.54,16
77,2110.54,16
78,2111.83,16
79,2099.84,16
80,2089.75,16
81,2095.91,16
82,2081.61,16
83,2082.04,16
84,2096.1,16
85,2105.91,16
86,2112.1,16
87,2112.11,16
88,2116.12,16
89,2108.37,16
90,2103.41,16
91,2105.2,16
92,2099.83,16
93,2078.27,16
94,2085.49,16
95,2082.38,16
96,2087,16
97,2094.44,16
98,2076,16
99,2067.91,16
100,2067.55,16
101,2079.59,16
102,2095.54,16
103,2081.29,16
104,2071.29,16
105,2070.37,16
106,2083.64,15
107,2073.62,15
108,2069.04,16
109,2077.7,16
110,2072.11,16
111,2080.83,16
112,2082.52,16
113,2079.68,16
114,2077.42,15
115,2071.11,15
116,2071.53,16
117,2079.99,15
118,2085.29,15
119,2069.33,16
120,2074.08,16
121,2076.24,16
122,2067.73,16
123,2065.33,16
124,2071.97,16
125,2053.19,16
126,2066.97,15
127,2067.22,15
128,2078.1,16
129,2088.36,15
130,2083.53,15
131,2089,15
132,2101.9,15
133,2081.55,15
134,2071.44,15
135,2058.91,15
136,2051.74,15
137,2061.18,15
138,2064.63,15
139,2051.41,15
140,2051.71,15
141,2059.8,15
142,2066.96,15
143,2068.47,15
144,2061.73,15
145,2052.47,15
146,2067.86,15
147,2082.85,15
148,2079.98,15
149,2078.1,15
150,2070.23,15
151,2053.55,15
152,2047.55,15
153,2044.19,15
154,2042.5,15
155,2055.08,15
156,2063.65,15
157,2076.65,15
158,2076.74,15
159,2064.49,15
160,2073.5,15
161,2075.89,15
162,2073.89,15
163,2060.15,15
164,2075.94,15
165,2069.17,15
166,2054.26,15
167,2063.75,15
168,2072.67,15
169,2066.22,15
170,2048.32,15
171,2059.45,15
172,2060.99,15
173,2064.3,15
174,2056.1,15
175,2052.94,15
176,2058.83,15
177,2051.29,15
178,2045.47,15
179,2048.34,15
180,2042.58,15
181,2050.14,15
182,2035.04,15
183,2040.45,15
184,2041.98,15
185,2046.94,15
186,2046.94,15
187,2060.62,15
188,2065.92,15
189,2065.27,15
190,2071.16,15
191,2068,15
192,2082.66,15
193,2068.54,15
194,2065.96,15
195,2069.37,15
196,2075.87,15
197,2053.85,15
198,2072.89,15
199,2078.38,15
200,2078.19,15
201,2073.39,15
202,2074.79,15
203,2070.32,15
204,2073.76,15
205,2075.83,15
206,2090.73,15
207,2081.49,15
208,2078.65,15
